,Date,Close,Volume,Open,High,Low,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
88,2/23/2023,172.04,20017780,172.0,173.69,169.38,4.310000000000002,-0.03999999999999204,174.30142857142854,179.32928571428573,186.33142857142857,5.231199443630375,11.810282082030922
89,2/22/2023,171.12,22433160,171.07,172.76,169.69,3.069999999999993,-0.05000000000001137,172.28285714285715,177.69357142857143,184.75238095238097,2.0784827341552155,11.503326434019732
90,2/21/2023,172.08,34592580,174.31,178.17,171.88,6.289999999999992,2.2299999999999898,171.93285714285713,177.0635714285714,183.43190476190478,1.8282296927669217,11.277789951514189
91,2/17/2023,172.88,24171260,170.22,173.18,169.7,3.480000000000018,-2.6599999999999966,171.8557142857143,176.59,182.03761904761905,1.7653314810782874,10.638485279757521
92,2/16/2023,172.44,25827470,172.75,175.85,171.79,4.060000000000002,0.3100000000000023,171.49857142857144,175.92928571428573,180.8295238095238,1.199589215400452,10.18882793857583
93,2/15/2023,177.16,25337970,176.42,178.19,175.33,2.859999999999985,-0.7400000000000091,172.58714285714285,175.37142857142857,179.95095238095237,2.1815492529044733,9.630777696926547
94,2/14/2023,179.48,24034630,177.16,181.51,175.88,5.6299999999999955,-2.319999999999993,173.8857142857143,175.01214285714286,178.73904761904762,3.147352629023265,7.747462749030678
95,2/13/2023,179.43,31463220,178.22,181.0,175.82,5.180000000000007,-1.210000000000008,174.9414285714286,174.62142857142857,177.86666666666665,3.6278020369142103,6.416941119671618
96,2/10/2023,174.15,33433570,176.35,178.89,173.35,5.539999999999992,2.1999999999999886,175.3742857142857,173.82857142857142,176.9204761904762,3.257738771717777,5.280271277302333
97,2/9/2023,177.92,37118810,186.13,186.65,177.27,9.379999999999995,8.210000000000008,176.20857142857145,174.07071428571427,176.7785714285714,3.012011667591239,5.2075179171215655
98,2/8/2023,183.43,36139070,190.0,190.83,182.92,7.910000000000025,6.569999999999993,177.71571428571428,174.78571428571428,176.9652380952381,3.6424023992534007,5.377796592515882
99,2/7/2023,191.62,47080660,185.58,193.78,184.4,9.379999999999995,-6.039999999999992,180.4557142857143,175.97714285714287,177.43809523809526,5.664882632331165,6.189334066801964
100,2/6/2023,186.06,42483810,186.53,190.7,185.52,5.179999999999978,0.46999999999999886,181.72714285714284,177.15714285714287,177.49,5.7990795657169585,6.259825077428214
101,2/3/2023,186.53,76809700,183.47,196.77,182.89,13.880000000000024,-3.0600000000000023,182.7342857142857,178.30999999999997,177.58619047619047,5.9538974830011595,6.387312013821142
102,2/2/2023,188.77,150475700,183.38,197.16,180.16,17.0,-5.390000000000015,184.06857142857143,179.50499999999997,177.7704761904762,6.133822703043634,6.658932704413213
103,2/1/2023,153.12,55661020,148.03,153.58,147.06,6.52000000000001,-5.090000000000003,181.06428571428572,178.21928571428572,176.2404761904762,13.051172178700549,8.334781026631962
104,1/31/2023,148.97,29842110,147.95,149.88,147.52,2.359999999999985,-1.0200000000000102,176.92857142857142,176.56857142857143,175.0233333333333,17.89984304267421,10.244546028659975
105,1/30/2023,147.06,28040100,149.41,151.12,146.95,4.170000000000016,2.3499999999999943,171.7328571428571,174.7242857142857,173.76809523809524,20.749783705126042,11.927497063109085
106,1/27/2023,151.74,35771870,148.24,153.19,147.39,5.800000000000011,-3.5,166.03571428571428,173.24571428571429,172.66333333333336,19.834040483591615,12.852114352639925
107,1/26/2023,147.3,25482080,144.4,147.51,143.3,4.2099999999999795,-2.9000000000000057,160.49857142857144,171.11285714285714,171.6042857142857,18.68943679245138,13.988436499991186
